FID,OBJECTID,VRT_CODE,VRTNAAM,HAVEN_VAAR,MEETPUNT_B,MEETPUNT_E,TRAJECTLEN,STATUS,TOEVOEGING,COR_NAAM,KENMERK_ID,ID,SE_ANNO_CAD_DATA,SHAPE
status_vaarweg.fid--375f6e7f_17ab674aa71_-3912,7,236,"Zaan, Tap- of Tochtsloot, Markervaart en Alkmaardermeer",,0,20.7,,AANT,Aantakking,,,16499658,,"MULTILINESTRING ((52.418099999 4.84059999900001, 52.420699999 4.84089999999998, 52.4219 4.840300001, 52.422899999 4.83900000199998, 52.426899999 4.83529999899997, 52.4278 4.83439999799998, 52.431200001 4.83210000000003, 52.431699999 4.831700001, 52.4355 4.82869999899998, 52.4366 4.8279, 52.4388 4.82629999900001, 52.440499999 4.82470000199999, 52.441 4.824299999, 52.4461 4.8211, 52.447500002 4.82070000099998, 52.4494 4.821199998, 52.450599998 4.82059999900002, 52.4518 4.81909999999999, 52.454500001 4.813499998, 52.454999998 4.81270000000001, 52.455699999 4.81219999899997, 52.457699999 4.81260000200001, 52.459100001 4.81289999900002, 52.460999999 4.81280000100003, 52.463 4.81260000200001, 52.4639 4.81360000000001, 52.465100002 4.816300001, 52.465599999 4.817299999, 52.466200002 4.81799999999998, 52.466699999 4.81819999999999, 52.4672 4.81779999999998, 52.467599999 4.81700000199999, 52.468699999 4.81490000000002, 52.469300002 4.81399999899998, 52.4703 4.81329999899998, 52.471000001 4.81329999899998, 52.4716 4.813499998, 52.4727 4.81450000000001, 52.473299999 4.815499999, 52.474800002 4.816399999, 52.475099999 4.81650000100001, 52.475499999 4.816399999, 52.475900002 4.81529999899999, 52.476599999 4.813499998, 52.477699999 4.81170000100002, 52.4789 4.81080000100002, 52.479699999 4.81060000100001, 52.4804 4.81080000100002, 52.4811 4.81129999799998, 52.482500002 4.81260000200001, 52.483800001 4.81260000200001, 52.485100001 4.81199999900002, 52.485599998 4.81139999999999, 52.486299999 4.80999999900001, 52.4868 4.80849999899999, 52.489 4.80420000100003, 52.489300001 4.80349999999999, 52.489700001 4.80209999900001, 52.4899 4.80160000199999, 52.4903 4.80079999899999, 52.491099998 4.79910000000001, 52.4912 4.79840000000002, 52.4914 4.79720000200001, 52.4914 4.79670000099998, 52.491300002 4.796100002, 52.491 4.79379999999998, 52.491 4.793000001, 52.491099998 4.792399999, 52.491500001 4.79190000099999, 52.491999999 4.79170000200003, 52.492600001 4.79210000099999, 52.493999999 4.79340000100001, 52.494800001 4.794199999, 52.4954 4.79479999799997, 52.4956 4.79489999999998, 52.495900001 4.79509999999999, 52.496100001 4.79509999999999, 52.496300001 4.79509999999999, 52.497200001 4.79500000199999, 52.497699998 4.79489999999998, 52.499299999 4.79479999799997, 52.5011 4.79469999999998, 52.501699999 4.79459999900001, 52.501899999 4.79450000100002, 52.502300002 4.79459999900001, 52.502700001 4.79439999900001, 52.5035 4.79390000199999, 52.504099999 4.79360000000003, 52.504500002 4.79349999900001, 52.5055 4.79349999900001, 52.506200001 4.79360000000003, 52.506700002 4.79360000000003, 52.507199999 4.79309999899999, 52.509399999 4.79019999899998, 52.510200001 4.78929999799999, 52.511100002 4.78869999900002, 52.512800001 4.78880000100003, 52.513599999 4.78889999900002, 52.516600002 4.78929999799999, 52.517200001 4.7894, 52.519099999 4.78909999899997, 52.5196 4.78240000099998, 52.522300001 4.78090000200001, 52.5288 4.77839999999998, 52.531800002 4.77730000000003, 52.534000002 4.77719999800001, 52.534400001 4.77540000200003, 52.534499999 4.77450000099998, 52.534499999 4.77279999899997, 52.534400001 4.77109999999999, 52.534400001 4.76960000000003, 52.534499999 4.76880000199998, 52.535 4.76729999899999, 52.5352 4.76680000099998, 52.535999998 4.76579999900002, 52.5372 4.76480000100003, 52.5374 4.764400002, 52.537700001 4.76330000199999, 52.537700001 4.76220000199999, 52.537599999 4.76029999899998, 52.5374 4.75800000100003, 52.5374 4.756700002, 52.537900001 4.75580000100001, 52.5385 4.75539999799997, 52.540199999 4.75499999900001, 52.542399999 4.75400000100001, 52.543000001 4.753899999, 52.5548 4.752999999, 52.561500002 4.74540000000002, 52.563099999 4.74419999899999, 52.564599998 4.74370000099998, 52.565900002 4.74350000200002, 52.567000002 4.74370000099998, 52.567400001 4.74419999899999))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-3911,8,206,Oude Rijn,,35.22,50.729,,VERB,Verbinding,,,16499547,,"MULTILINESTRING ((52.119100001 4.67450000000002, 52.1193 4.67340000000002, 52.1195 4.67240000100003, 52.119899999 4.67069999900002, 52.120499998 4.66860000000003, 52.120900001 4.66719999899999, 52.1215 4.66580000099998, 52.122299999 4.66450000200001, 52.1228 4.66400000099998, 52.123399999 4.6635, 52.124600001 4.66299999900002, 52.125599999 4.66279999900001, 52.127099998 4.66259999900001, 52.128800001 4.66279999900001, 52.129799999 4.66270000100002, 52.1305 4.66299999900002, 52.132599998 4.66309999999999, 52.1373 4.66299999900002, 52.138300002 4.66290000100003, 52.1391 4.66270000100002, 52.139899999 4.66219999999998, 52.140500002 4.66160000100001, 52.140900001 4.66099999800002, 52.1415 4.65949999899999, 52.142200001 4.65529999900002, 52.142499998 4.65329999800002, 52.1426 4.65170000099999, 52.1426 4.65150000199998, 52.142499998 4.65030000000002, 52.1424 4.64880000099998, 52.142099999 4.64739999900002, 52.141899999 4.64629999900001, 52.141800001 4.64579999799997, 52.140900001 4.64220000099999, 52.140900001 4.64209999899998, 52.1404 4.63899999900002, 52.1402 4.63769999900001, 52.139800001 4.63430000099999, 52.1395 4.63190000100002, 52.1391 4.63029999999998, 52.138799999 4.629099999, 52.138300002 4.627900001, 52.137200002 4.62620000200002, 52.136300001 4.62510000200001, 52.135600001 4.62420000100002, 52.134599999 4.62319999900001, 52.133000001 4.62180000199999, 52.1325 4.621199999, 52.131900001 4.62049999800001, 52.131200001 4.61930000000001, 52.130800001 4.618299998, 52.130399998 4.61709999999999, 52.130100001 4.61560000100002, 52.129799999 4.61410000199999, 52.129500002 4.612500001, 52.129500002 4.61120000099999, 52.129500002 4.60999999900002, 52.129700001 4.60750000199999, 52.129900001 4.605799999, 52.130399998 4.60339999899998, 52.131000001 4.60059999999999, 52.131499998 4.598999999, 52.1318 4.59640000000002, 52.131999999 4.59400000099998, 52.131900001 4.59299999799998, 52.131700002 4.59199999999998, 52.131499998 4.59109999999998, 52.131099999 4.58999999999997, 52.1296 4.58680000200002, 52.129000001 4.58509999900002, 52.128800001 4.58410000100002, 52.128600001 4.58289999900001, 52.128400002 4.58130000199998, 52.128199998 4.57970000099999, 52.128199998 4.57759999899997, 52.1283 4.57549999999998, 52.1285 4.57350000000002, 52.128800001 4.57150000000001, 52.1292 4.56799999999998, 52.130199999 4.56419999899998, 52.130800001 4.5625, 52.1314 4.56109999900002, 52.132199999 4.559599999, 52.133099999 4.55829999999997, 52.133400001 4.557799999, 52.134199999 4.55680000000001, 52.1349 4.55610000000001, 52.135499999 4.55530000099998, 52.136 4.55469999799999, 52.136500001 4.55400000100002, 52.137200002 4.55290000100001, 52.137400001 4.55259999999998, 52.138300002 4.550900001, 52.138999999 4.54950000000002, 52.140299998 4.546100002, 52.140500002 4.54529999900001, 52.140700001 4.54459999900001, 52.140799999 4.54399999999998, 52.140999999 4.54250000000002, 52.140999999 4.54180000000002, 52.140999999 4.54100000099999, 52.140999999 4.53869999900002, 52.140900001 4.53709999799997, 52.140999999 4.53609999999998, 52.141100001 4.53480000000002, 52.141199999 4.53390000000002, 52.1413 4.53310000200003, 52.1415 4.53220000099998, 52.1417 4.53119999900002, 52.141800001 4.53069999799999, 52.142000001 4.53049999799998, 52.142200001 4.52989999900001, 52.1424 4.52930000100002, 52.142999999 4.52800000100001, 52.1435 4.52739999800002, 52.144299999 4.52640000000002, 52.144499999 4.526099999, 52.145399999 4.52530000000002, 52.146899998 4.52420000000001, 52.147 4.52420000000001, 52.147399999 4.524, 52.147799999 4.52380000099998, 52.1483 4.52360000099998, 52.148800001 4.52340000100003, 52.1492 4.52330000000001, 52.149700001 4.52299999799999, 52.149999999 4.52289999999999, 52.150400002 4.52279999899997, 52.150899999 4.52259999900002, 52.151099999 4.52250000100003, 52.1516 4.52230000100002, 52.152399998 4.522100002, 52.1527 4.52199999999999, 52.152899999 4.52199999999999, 52.153499998 4.52179999999998, 52.1545 4.52149999900001, 52.1556 4.52129999900001, 52.155900002 4.52120000100001, 52.155999999 4.52120000100001, 52.156199999 4.52109999999999, 52.1569 4.52059999900001, 52.157200001 4.52030000100001, 52.157400001 4.520100001, 52.157699998 4.51969999800002, 52.158199999 4.51900000099999, 52.1587 4.51810000099999, 52.1591 4.51749999800001, 52.159899998 4.5163, 52.160100002 4.51590000099998, 52.160300002 4.51550000200001, 52.160500001 4.51509999899997, 52.160599999 4.51469999900002, 52.1609 4.51370000100002, 52.1611 4.512400001, 52.1613 4.51049999899999, 52.161400001 4.50790000000001, 52.161400001 4.50549999999998, 52.1613 4.50439999999998))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-3910,9,571,Scheepvaartroute Scheveningen,,0,3.3,,HR,Hoofdroute,,,16498211,,"MULTILINESTRING ((52.100900002 4.25730000099998, 52.1039 4.25529999999998, 52.111299999 4.24929999900002, 52.1274 4.23449999799999))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-390f,10,406,"Vaarwater naar Emden, Gaatje Bocht, Oostfriesche Gaatje, Doekegat, Randzelgat en Westereems",,38.963,79.108,,AANT,Aantakking,,,16498860,,"MULTILINESTRING ((53.4725 6.84550000000002, 53.477400001 6.83839999899999, 53.483100001 6.82979999899999, 53.489999998 6.82059999900002, 53.496599998 6.81219999899997, 53.501499999 6.80440000099998, 53.506499998 6.79489999999998, 53.5178 6.77039999900001, 53.5284 6.74480000099999, 53.5418 6.71499999999997, 53.5462 6.70549999899998, 53.548999999 6.69949999800002, 53.550099999 6.69720000000001, 53.555100001 6.686500002, 53.569499999 6.65390000100001, 53.572999999 6.64689999799998, 53.5788 6.635600001, 53.588399999 6.61670000100003, 53.598499998 6.58909999999997, 53.611699998 6.55900000000003, 53.613000002 6.55369999999999, 53.6138 6.54670000099998, 53.614100002 6.51429999999999, 53.614300001 6.49579999999997, 53.614500001 6.476, 53.614799999 6.45600000000002, 53.6149 6.44949999800002, 53.614999998 6.44389999999999, 53.615400001 6.41019999999997, 53.615499999 6.40359999999998, 53.615600001 6.39569999999998, 53.615699999 6.39150000000001, 53.615800001 6.38430000099999, 53.615899999 6.38100000100002, 53.616099998 6.37009999899999, 53.616099998 6.3673, 53.615600001 6.32470000199999))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-390e,11,229,Vaarweg vanaf het IJmeer via de Randmeren naar het Ketelmeer,,0.177,78.481,,VERB,Verbinding,,,16499212,,"MULTILINESTRING ((52.322700001 5.14299999899998, 52.320999999 5.14640000100002, 52.3202 5.14940000000001, 52.319699999 5.15349999799997, 52.32 5.15920000199998, 52.3259 5.21589999999998, 52.326200001 5.22179999899998, 52.3259 5.223999999, 52.3213 5.25279999899999, 52.3191 5.26770000200003, 52.3182 5.27270000099998, 52.3169 5.28180000200001, 52.316500001 5.28379999800001, 52.311799999 5.29589999799998, 52.3081 5.30490000200001, 52.303800002 5.31490000000002, 52.301100001 5.319200002, 52.298 5.324099999, 52.287900001 5.33989999800002, 52.267099999 5.37489999799999, 52.2623 5.38300000100003, 52.255399998 5.39400000099999, 52.2531 5.39840000100003, 52.252099998 5.40129999800001, 52.251400001 5.404800002, 52.250999998 5.40850000099999, 52.2511 5.41309999999999, 52.253600001 5.426800001, 52.257100001 5.44669999899997, 52.258699998 5.45490000000001, 52.260699999 5.46469999800001, 52.261100002 5.46709999799998, 52.261599999 5.46999999899998, 52.261799999 5.47089999899998, 52.2619 5.47160000000002, 52.2623 5.47340000000003, 52.263599999 5.48259999999999, 52.265299998 5.49250000000001, 52.271600001 5.526999999, 52.272 5.52910000100002, 52.272599999 5.5308, 52.2733 5.53229999899997, 52.274599999 5.53379999800001, 52.2755 5.534699999, 52.283399999 5.53889999900002, 52.2982 5.54670000099998, 52.312100001 5.55440000099998, 52.317899998 5.55739999899998, 52.318799999 5.55799999800001, 52.3299 5.56380000000001, 52.336800002 5.56760000100002, 52.337699998 5.56799999999998, 52.348900001 5.574000001, 52.350299999 5.57519999900001, 52.360300001 5.5865, 52.361900002 5.588500001, 52.3627 5.590300001, 52.363400001 5.59259999900002, 52.363699999 5.59430000200001, 52.364 5.59640000000002, 52.363899998 5.59919999900001, 52.363699999 5.60680000100001, 52.363000002 5.60920000099998, 52.3638 5.61090000000002, 52.364399999 5.61219999899998, 52.364599999 5.612599999, 52.3651 5.613699999, 52.367199998 5.6173, 52.369800001 5.62159999800002, 52.3739 5.62630000000001, 52.385400001 5.64499999999998, 52.394499999 5.66030000199999, 52.396000002 5.66419999999999, 52.405099999 5.694200002, 52.407400001 5.70210000100002, 52.408 5.70569999899999, 52.408799998 5.71130000099998, 52.412 5.737599999, 52.412599999 5.74300000099998, 52.412900001 5.74500000099999, 52.413400002 5.74729999900001, 52.4144 5.75050000099998, 52.416000001 5.753899999, 52.421500001 5.76480000100003, 52.437600002 5.79740000100003, 52.441199999 5.80169999999998, 52.4441 5.80440000099998, 52.455600001 5.81529999899999, 52.4582 5.81740000100001, 52.458999999 5.81810000199999, 52.4756 5.83249999999998, 52.4813 5.83760000000001, 52.4848 5.84099999799997, 52.493099999 5.84879999999998, 52.494800001 5.85020000100002, 52.495999999 5.85079999999999, 52.502599999 5.85310000200002, 52.513300002 5.85649999999998, 52.5178 5.85770000100001, 52.52 5.85799999900001, 52.5339 5.85700000100002, 52.541200001 5.85610000000003, 52.543000001 5.85559999899999, 52.5438 5.85539999999997, 52.543900002 5.85539999999997, 52.5451 5.85509999800001, 52.546799999 5.854800001, 52.549199998 5.85399999800001, 52.550700001 5.85300000000001, 52.551800001 5.85210000000001, 52.5526 5.85079999999999, 52.563200001 5.83520000099998, 52.577 5.81450000000001, 52.578600001 5.81170000100002, 52.579300001 5.809599999, 52.579799999 5.80730000099999, 52.5801 5.80339999900002, 52.5803 5.78590000000003, 52.579999998 5.77629999800001, 52.583500002 5.77519999800001))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-390d,12,060,Lemmer - Delfzijl,,54.5,119.5,,HR,Hoofdroute,,,16500480,,"MULTILINESTRING ((53.239100002 6.22469999999998, 53.238699999 6.22349999800002, 53.238200001 6.22150000200003, 53.237799998 6.21990000099998, 53.237799998 6.21979999899997, 53.237599999 6.21880000099998, 53.237399999 6.21699999999998, 53.237300001 6.21599999799997, 53.237199999 6.21400000199998, 53.237 6.211599998, 53.236900002 6.20870000100001, 53.236900002 6.207600001, 53.237 6.20639999999997, 53.237100001 6.20520000200003, 53.237500001 6.20259999899997, 53.2377 6.20169999799998, 53.2377 6.20030000100002, 53.2377 6.19850000000002, 53.237599999 6.19660000099998, 53.237300001 6.19440000100002, 53.237199999 6.19389999999999, 53.236900002 6.19289999799997, 53.2366 6.19209999999998, 53.236000001 6.19069999800001, 53.2346 6.18800000099998, 53.230099998 6.17859999799998, 53.2291 6.17649999999998, 53.228300001 6.17419999800001, 53.227200001 6.17069999900002, 53.224599998 6.16090000000003, 53.223999999 6.15839999899998, 53.223700002 6.15690000000001, 53.223299999 6.15509999900002, 53.223099999 6.15329999800002, 53.2227 6.14970000099999, 53.2212 6.1336, 53.221000001 6.13060000199999, 53.220899999 6.12249999900001, 53.220800001 6.12000000099999, 53.220600002 6.11860000000001, 53.2205 6.11740000200001, 53.220199998 6.11589999900002, 53.219799999 6.11450000100001, 53.2194 6.11329999899999, 53.219000001 6.11230000099999, 53.218600001 6.11129999899998, 53.2172 6.10889999900002, 53.2159 6.106699999, 53.2148 6.10520000000002, 53.214499999 6.104899999, 53.213799998 6.10430000000002, 53.210900001 6.10200000200001, 53.209899999 6.101, 53.208799999 6.09959999799997, 53.2073 6.097100001, 53.206799999 6.09620000000001, 53.205499999 6.0942, 53.2049 6.09279999900002, 53.204399999 6.09149999900001, 53.203899998 6.089400001, 53.203499999 6.08709999899997, 53.203000002 6.08429999999998, 53.202399999 6.07979999899999, 53.201299999 6.07290000099999, 53.200100001 6.06419999899998, 53.199700002 6.06040000199999, 53.199499998 6.05669999899999, 53.1994 6.0548, 53.199299999 6.05349999999999, 53.199000001 6.051800001, 53.198800001 6.050900001, 53.1983 6.04879999899998, 53.197900001 6.04670000099998, 53.195900001 6.03860000100002, 53.194699999 6.03310000200003, 53.192499999 6.02340000100003, 53.191 6.01670000000001, 53.190099999 6.01390000100002, 53.188999999 6.01110000199998, 53.188000001 6.00880000000001, 53.187199999 6.00730000099998, 53.186799999 6.00620000100002, 53.1864 6.00490000100001, 53.185800001 6.00169999899998, 53.185400002 5.99859999900002, 53.1853 5.997000001, 53.185199998 5.995299999, 53.1853 5.993299998, 53.1853 5.9923, 53.185199998 5.987500001, 53.1853 5.98499999900002, 53.1853 5.98380000100002, 53.185199998 5.98129999999998, 53.184799999 5.97820000000002, 53.184300002 5.97260000199998, 53.1842 5.96999999899998, 53.183800001 5.96709999799998, 53.183499999 5.96519999999998, 53.182999998 5.96310000099999, 53.182599999 5.96130000099998, 53.181899998 5.95929999999998, 53.1809 5.95650000099999, 53.178800002 5.95089999999999, 53.177499998 5.94770000099999, 53.177299999 5.94720000000001, 53.1765 5.9452, 53.175500002 5.94279999999998, 53.174699999 5.94080000000002, 53.173700001 5.93899999899998, 53.1723 5.93690000100003, 53.170400001 5.93419999999998, 53.168900002 5.933600001, 53.162900001 5.93239999899998, 53.162099998 5.93220000000002, 53.161899999 5.93220000000002, 53.161400001 5.93200000000002, 53.160799999 5.93180000000001, 53.159699999 5.93120000099998, 53.158599999 5.93039999899997, 53.157600001 5.92929999900002, 53.156300001 5.92759999999998, 53.1545 5.925099999, 53.153999999 5.92450000000002, 53.151799999 5.9221, 53.1494 5.91930000100001, 53.149 5.91860000000003, 53.148499999 5.91780000199998, 53.147700001 5.91620000099999, 53.147100002 5.91479999900002, 53.145100001 5.909600001, 53.1446 5.90830000099999, 53.142999999 5.90459999799998, 53.141899999 5.90179999899999, 53.140700001 5.89820000200001, 53.139699999 5.89469999800002, 53.138599999 5.89200000099999, 53.137800001 5.89050000200001, 53.136999998 5.88919999799998, 53.133000001 5.88600000000002, 53.131099999 5.88479999800001, 53.129099999 5.88309999900002, 53.129000001 5.88300000100003, 53.125799999 5.88049999999998, 53.125 5.87990000100001, 53.124699999 5.879700001, 53.124299999 5.87939999999998, 53.1237 5.87920000000003, 53.121100001 5.87819999800001, 53.118500002 5.87740000000002, 53.117400002 5.87700000000001, 53.116599999 5.87660000099999, 53.116 5.87620000200002, 53.1151 5.87539999900002, 53.114100002 5.87420000100002, 53.113400001 5.87310000100001, 53.1129 5.872099999, 53.112300001 5.87070000199998, 53.111900002 5.86950000000002, 53.110800002 5.86650000100002, 53.109999999 5.86399999999998, 53.1094 5.862599999, 53.108199999 5.86010000099998, 53.107500002 5.8587, 53.106899999 5.85770000100001, 53.105999999 5.85619999800002, 53.105500001 5.855500001, 53.1041 5.85350000099999, 53.102899998 5.85220000100003, 53.102000002 5.85130000100003, 53.099599998 5.84930000100002, 53.0988 5.84840000000003, 53.095600002 5.847199999, 53.092900001 5.84589999899998, 53.092599999 5.84569999899998, 53.091499999 5.84490000099998, 53.090500001 5.84409999799999, 53.083799999 5.83709999899997, 53.0825 5.83570000200001, 53.081599999 5.834600002, 53.080899999 5.83350000199999, 53.0803 5.83229999999998, 53.079700001 5.83049999899998, 53.079500001 5.82999999800001, 53.079100002 5.8288, 53.078400001 5.82649999900002, 53.077399999 5.82330000000002, 53.076699998 5.82130000000001, 53.076000001 5.81949999900002, 53.074900001 5.817299999, 53.074000001 5.81599999999997, 53.072500002 5.81419999899998, 53.068999998 5.81069999900001, 53.0669 5.80829999999997, 53.063000001 5.80319999900001, 53.059500001 5.79740000100003, 53.057500001 5.79369999800002, 53.0539 5.78770000100002, 53.051199999 5.782699998, 53.0484 5.77800000100001, 53.047499999 5.77569999899998, 53.046500001 5.77330000000001, 53.0458 5.77169999900002, 53.0427 5.76399999900002, 53.041299999 5.76040000099999, 53.0363 5.74859999900002, 53.032900002 5.73999999799997, 53.032000002 5.738499999, 53.0288 5.73439999999999, 53.028000001 5.73339999799998, 53.027100001 5.73229999799997, 53.024500001 5.72890000000001, 53.0207 5.72500000100001, 53.019699998 5.72439999900001, 53.017299999 5.72359999999998, 53.017200001 5.72359999999998, 53.0099 5.72199999899999, 53.009300001 5.72179999899998, 53.008699998 5.72129999800001, 53.008099999 5.72100000099999, 53.006999999 5.71979999899997, 53.0057 5.71819999799999, 53.0042 5.71519999999998, 53.001800001 5.71070000200001, 53.001800001 5.7106, 52.999699999 5.70630000199998, 52.9976 5.70239999900002, 52.997400001 5.702, 52.9969 5.70100000100001, 52.996199999 5.699900001, 52.9947 5.698100001, 52.990400001 5.69330000100001, 52.989599999 5.692200001, 52.9877 5.69029999899999, 52.9868 5.68939999899999, 52.986000001 5.68880000000001, 52.985199999 5.68829999899998, 52.9844 5.68800000099998, 52.983600002 5.68760000200001, 52.982799999 5.6875, 52.982000001 5.68739999799999, 52.981400002 5.68739999799999, 52.980799999 5.6875, 52.980099998 5.68770000000001, 52.978799999 5.6884, 52.976100001 5.68959999800001, 52.9747 5.69020000099999, 52.9736 5.690400001, 52.969300002 5.69090000199998, 52.966699999 5.69090000199998, 52.964000002 5.69099999999997, 52.9417 5.68899999899998, 52.940900002 5.68890000099998, 52.939199999 5.68880000000001, 52.935699999 5.68860000000001, 52.934999999 5.68860000000001, 52.932599999 5.68950000000001, 52.932100002 5.68980000200003, 52.930199999 5.69090000199998, 52.919399999 5.69660000099998, 52.917599998 5.69760000000002, 52.9166 5.69839999800001, 52.914999999 5.69949999800002, 52.914000001 5.699999999, 52.913400002 5.70010000100001, 52.912500001 5.70019999900001, 52.907900002 5.69970000199999, 52.901000001 5.699099999, 52.8981 5.698800001, 52.895399999 5.69860000199998, 52.893100001 5.69799999899999, 52.891600002 5.69760000000002, 52.866099998 5.68490000100002, 52.864399999 5.683899999, 52.863600001 5.683400001, 52.861699998 5.68250000099999, 52.860800002 5.68180000000001, 52.859499998 5.68090000000001, 52.853500001 5.67759999999998, 52.852699999 5.67720000100002, 52.852499999 5.67700000100001, 52.850200001 5.675700001, 52.848099999 5.67450000000002, 52.845100001 5.67289999899998, 52.8442 5.67269999899997, 52.842900001 5.67249999900002, 52.8402 5.67249999900002, 52.8398 5.67240000100003, 52.839200001 5.6721, 52.8378 5.67060000100003, 52.8365 5.66890000199999, 52.835200001 5.66710000099999, 52.833299998 5.66409999899997))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-390c,13,401a,Vaarwater benoorden langs Afsluitdijk,,0,20.367,,VERB,Verbinding,,,16498365,,"MULTILINESTRING ((52.9399 5.03970000100003, 52.941199999 5.04289999999997, 52.9419 5.04549999900001, 52.9428 5.04870000099999, 52.944499999 5.05750000099999, 52.945300002 5.06009999999998, 52.946199998 5.06229999999999, 52.951000001 5.07150000000001, 52.952599999 5.074000001, 52.9542 5.07549999999998, 52.955699999 5.07640000100002, 52.956799999 5.07750000099998, 52.958000001 5.07930000099998, 52.9641 5.08879999800001, 52.965 5.09019999999998, 52.966400001 5.09250000100002, 52.9694 5.09870000199999, 52.972399998 5.10269999899998, 52.974100001 5.10449999899998, 52.975499999 5.10729999799997, 52.978 5.11419999999998, 52.98 5.11950000000002, 52.982000001 5.12489999799999, 53.002900001 5.16899999999998, 53.013999999 5.186500002, 53.015299998 5.188499998, 53.031100001 5.21950000200002, 53.041499998 5.23899999999998, 53.0491 5.25620000100002, 53.050900001 5.2586, 53.0535 5.25939999899998, 53.0614 5.25930000099999))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-390b,14,402,"Boontjes, Doove Balg, Texelstroom",,0,17.772,,AR,Alternatieve route,,,16497575,,"MULTILINESTRING ((53.177299999 5.40179999899999, 53.177200001 5.40150000199998, 53.177000001 5.401099999, 53.176600002 5.40069999899998, 53.175900001 5.40019999800001, 53.175299998 5.39990000099999, 53.174800001 5.39950000099998, 53.174699999 5.39940000000001, 53.171599999 5.39600000199999, 53.166000001 5.38969999900002, 53.1655 5.38909999999998, 53.164999999 5.38879999900001, 53.163199998 5.38819999999998, 53.160599999 5.387499999, 53.158799998 5.38690000000003, 53.1503 5.38459999899999, 53.146600001 5.38309999900002, 53.144099999 5.38199999900002, 53.139699999 5.38019999900001, 53.135899998 5.37849999999997, 53.1338 5.37740000000002, 53.1303 5.37570000099998, 53.125500001 5.37339999900001, 53.124400001 5.37290000199999, 53.1228 5.37229999900001, 53.1217 5.372099999, 53.120700002 5.37229999900001, 53.118999999 5.37259999999998, 53.114 5.37319999900001, 53.110199999 5.37369999999999, 53.1076 5.37420000100002, 53.105799999 5.37420000100002, 53.1054 5.374000002, 53.105 5.37369999999999, 53.103999998 5.37299999999999, 53.103300001 5.37249999900001, 53.102699999 5.37220000100001, 53.101399999 5.371100001, 53.100099999 5.37000000099999, 53.098700002 5.36860000000001, 53.098099999 5.36800000099998, 53.096799999 5.36650000100002, 53.095699999 5.36489999999998, 53.093899999 5.36210000099999, 53.092799999 5.36030000099998, 53.091899998 5.358600002, 53.091499999 5.35790000100002, 53.090100002 5.355700001, 53.0889 5.35300000000001, 53.088100001 5.35020000100002, 53.0878 5.348999999, 53.087200001 5.34670000199998, 53.0867 5.34490000099998, 53.086199999 5.34309999999999, 53.085200001 5.339499999, 53.084600002 5.33749999899999, 53.084199999 5.33599999900002, 53.083900001 5.334600002, 53.0836 5.332600001, 53.083299998 5.330899999, 53.083000001 5.3288, 53.082899999 5.32710000100002, 53.082800001 5.32569999999998, 53.082800001 5.32369999999997, 53.082899999 5.32200000099999, 53.083000001 5.32079999899997, 53.083099999 5.3193, 53.0834 5.31670000000003, 53.0836 5.31280000100003, 53.083900001 5.30970000100001, 53.083700001 5.30700000000002, 53.083700001 5.30469999799999, 53.083500002 5.30270000199999, 53.0832 5.29950000000002, 53.083000001 5.29599999999999, 53.077199999 5.28739999999999, 53.076699998 5.28669999900001, 53.074900001 5.28420000199998, 53.074000001 5.28290000200002, 53.072999999 5.28130000099998, 53.0715 5.27849999799997, 53.070799999 5.27730000000003, 53.0689 5.274, 53.0682 5.27289999999999, 53.066500001 5.27030000100001, 53.065200001 5.26850000000002, 53.064300001 5.26709999899998, 53.063299999 5.26519999999999, 53.0625 5.26339999999999, 53.061799999 5.261599999, 53.0614 5.25930000099999))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-390a,15,024,Buitenhavens Harlingen,,0,1.2,,AR,Alternatieve route,,,16500652,,"MULTILINESTRING ((53.1774 5.40239999800002, 53.177299999 5.402800001, 53.177000001 5.40329999800002, 53.1767 5.40370000199999, 53.1765 5.40399999900001, 53.1763 5.40410000100002, 53.176100001 5.40430000100002, 53.175999999 5.40430000100002, 53.175799999 5.40439999799997, 53.175500002 5.40449999999998, 53.175299998 5.40459999799998, 53.174800001 5.40500000100002, 53.1745 5.40540000099998, 53.1743 5.40569999799999, 53.1743 5.40610000100003, 53.174199998 5.40680000200001, 53.1743 5.40740000099998, 53.174400002 5.40780000000001, 53.1745 5.40800000000002, 53.174600001 5.40839999899998, 53.174800001 5.40879999800001, 53.175000001 5.40920000199998, 53.1754 5.40980000000002, 53.1763 5.41070000100001, 53.177200001 5.41199999999998, 53.1776 5.41290000100003))"
status_vaarweg.fid--375f6e7f_17ab674aa71_-3909,16,401,Schulpengat,,0,0.309,,AR,Alternatieve route,,,16498602,,"MULTILINESTRING ((52.9388 5.038400002, 52.9399 5.03970000100003))"
