,tripName,vesselName,timeStart,timeEnd,longitudeStart,longitudeEnd,latitudeStart,latitudeEnd,currentSpeedOverGround,timestampEta,destination,typeOfShipId,length,width,draught,dimA,dim,dimC,dimD
29,trip_29,vessel_23,2019-05-16 07:21:18,2019-05-17 17:50:49,8.522431666666666,4.693018333333334,50.07864,51.82267666666666,8.1,2020-01-19 13:00:00,DUISBURG,84.0,110.0,12.0,,105.0,5.0,7.0,5.0
30,trip_30,vessel_24,2019-08-16 14:20:11,2019-08-18 14:50:56,8.52263,4.644691666666667,50.07561333333334,51.80759833333333,5.8,,FRANKFURT,79.0,135.0,11.0,,120.0,15.0,3.0,8.0
31,trip_31,vessel_14,2019-05-17 12:37:07,2019-05-18 14:30:26,8.523551666666666,4.686613333333334,50.081768333333336,51.82173,1.6,2019-04-27 12:00:00,ARA FRANKFURT VV,89.0,86.0,10.0,0.3,86.0,0.0,10.0,0.0
32,trip_32,vessel_3,2019-11-26 02:01:58,2019-11-27 16:50:34,8.528310000000001,4.695765,50.08412666666667,51.82284333333333,0.0,2019-11-25 17:26:00,FRANKFURT,79.0,135.0,12.0,0.2,120.0,15.0,4.0,8.0
33,trip_33,vessel_25,2019-05-09 17:21:13,2019-05-12 13:20:13,8.605755,4.670811666666666,50.08852333333334,51.82687166666667,4.0,2020-01-01 00:00:00,ROTTERDAM,79.0,185.0,10.0,2.5,169.0,16.0,8.0,2.0
34,trip_34,vessel_3,2019-05-29 08:50:59,2019-05-30 17:50:34,8.524193333333333,4.676688333333333,50.08194666666667,51.82133,6.5,2019-05-29 19:00:00,FRANKFURT,79.0,135.0,12.0,0.2,120.0,15.0,4.0,8.0
35,trip_35,vessel_3,2019-10-02 18:31:39,2019-10-04 15:50:22,8.522443333333333,4.654065,50.07818666666667,51.81457,6.8,2019-10-02 13:45:00,FRANKFURT,79.0,135.0,12.0,0.2,120.0,15.0,4.0,8.0
36,trip_36,vessel_12,2019-05-18 18:30:28,2019-05-20 10:51:08,8.525623333333334,4.673365,50.08184833333333,51.83898,2.2,2019-10-04 22:07:00,NLRTM00697DOCKX0001,79.0,135.0,12.0,1.6,132.0,3.0,9.0,3.0
37,trip_37,vessel_26,2019-12-06 03:00:26,2019-12-07 05:30:18,8.53938,4.698418333333334,50.091345,51.82313,7.3,2019-11-30 00:00:00,,80.0,110.0,12.0,,98.0,12.0,7.0,5.0
38,trip_38,vessel_12,2019-01-26 06:30:31,2019-01-27 16:24:25,8.5233333333333,4.641001666666667,50.078333333333,51.80529833333333,5.0,2019-10-04 22:07:00,NLRTM00697DOCKX0001,79.0,135.0,12.0,1.6,132.0,3.0,9.0,3.0
39,trip_39,vessel_27,2019-04-15 12:23:24,2019-04-16 21:20:24,8.689945,4.664215,50.108555,51.84772,6.4,2019-04-12 06:15:00,HOECHST,79.0,110.0,12.0,2.0,94.0,16.0,7.0,5.0
40,trip_40,vessel_28,2019-02-01 14:27:24,2019-02-05 13:50:21,8.719133333333334,4.697796666666667,50.10632333333334,51.822905,6.9,2019-01-20 20:00:00,PASSAU,79.0,185.0,11.0,1.6,165.0,20.0,3.0,8.0
41,trip_41,vessel_12,2019-03-16 13:20:16,2019-03-17 21:51:07,8.5983333333333,4.659173333333333,50.088333333333,51.817145,1.0,2019-10-04 22:07:00,NLRTM00697DOCKX0001,79.0,135.0,12.0,1.6,132.0,3.0,9.0,3.0
42,trip_42,vessel_17,2019-03-19 18:59:20,2019-03-22 03:20:10,8.590910000000001,4.69914,50.08821,51.82298,6.2,2019-03-18 22:00:00,GUSTAVSBURG,79.0,135.0,11.0,1.7,120.0,15.0,7.0,4.0
